year,co_mean,co_units,o3_mean,o3_units,no2_mean,no2_units,so2_mean,so2_units,pm2.5_mean,pm2.5_units,pm10_mean,pm10_units
2000,532.3668285943551,μg/m3,29.41133223516446,μg/m3,25.03499421948838,μg/m3,10.268270203100485,μg/m3,5.977311123262628,μg/m3,13.731743695364404,μg/m3
2001,492.1897260658395,μg/m3,32.27516566695945,μg/m3,23.413907698989433,μg/m3,6.659966203620397,μg/m3,5.384296680244753,μg/m3,13.258304242003165,μg/m3
2002,494.2297556395769,μg/m3,32.00895449055406,μg/m3,23.023511982003033,μg/m3,6.667961196567262,μg/m3,5.973789318246513,μg/m3,14.1893055804773,μg/m3
2003,482.397964091143,μg/m3,33.62402741445022,μg/m3,22.532634938548085,μg/m3,7.984557359482746,μg/m3,6.284330457687483,μg/m3,14.939430738992504,μg/m3
2004,486.62886105273594,μg/m3,31.575512322376703,μg/m3,21.137898817116316,μg/m3,6.8894776098569634,μg/m3,6.001286360408203,μg/m3,14.737286200553925,μg/m3
2005,466.13528804295817,μg/m3,32.413997457916906,μg/m3,19.799859048264324,μg/m3,5.386843706469901,μg/m3,5.332326857656347,μg/m3,14.966064397513911,μg/m3
2006,432.8530010982384,μg/m3,37.93413842152416,μg/m3,19.31120301618673,μg/m3,6.566690840792875,μg/m3,5.217300741599608,μg/m3,14.629018943758659,μg/m3
2007,348.1523087109775,μg/m3,34.649169521709425,μg/m3,18.954215228641647,μg/m3,6.621177137885163,μg/m3,4.654883576195242,μg/m3,13.111787205292613,μg/m3
2008,317.19897143002333,μg/m3,36.44227920212896,μg/m3,17.664505551686474,μg/m3,8.100031006404524,μg/m3,4.80452517328006,μg/m3,12.941734878746185,μg/m3
2009,301.3141404176512,μg/m3,37.5580886528543,μg/m3,17.72265390189501,μg/m3,7.119125726367415,μg/m3,5.523192703685619,μg/m3,13.223317033549073,μg/m3
2010,286.73877192212217,μg/m3,37.41595481055849,μg/m3,15.617050968493675,μg/m3,4.905490112395404,μg/m3,5.668423120739452,μg/m3,13.650184625766508,μg/m3
2011,257.5721205335138,μg/m3,38.46414252466367,μg/m3,15.840727454254415,μg/m3,4.542374275732577,μg/m3,5.033673298241616,μg/m3,12.836720536419005,μg/m3
2012,269.0975345633999,μg/m3,39.336709313299,μg/m3,16.361040103597492,μg/m3,4.751689558034487,μg/m3,5.369380240851211,μg/m3,13.743371472354829,μg/m3
2013,247.8617490069237,μg/m3,34.76597077754896,μg/m3,16.15193188607738,μg/m3,4.335261505092855,μg/m3,6.306279994131137,μg/m3,14.115432381678007,μg/m3
2014,267.4693306862123,μg/m3,37.5732056644897,μg/m3,15.92416262591568,μg/m3,4.02374183604995,μg/m3,6.571820891258025,μg/m3,13.844307631901984,μg/m3
2015,309.67197226398844,μg/m3,36.00172334603184,μg/m3,16.088163410315975,μg/m3,2.988674028582042,μg/m3,6.818240440038233,μg/m3,13.820501810747773,μg/m3
2016,274.6274279706637,μg/m3,36.406541145141134,μg/m3,14.313950829186366,μg/m3,3.4255528136648827,μg/m3,5.528226879905313,μg/m3,12.02854329917295,μg/m3
2017,246.3610848991086,μg/m3,40.16596908095633,μg/m3,15.68121919262913,μg/m3,3.7732113067261572,μg/m3,8.005948730850296,μg/m3,16.69816256487654,μg/m3
