year,make,model,vehicle_class,engine_size,transmission,fuel_type,combined_mpg,num_gears,highway_mpg,city_mpg
2015,ACURA,ILX,COMPACT,2.0,Automatic,Premium,34,5,35.10671641791045,24.24896907216495
2015,ACURA,ILX,COMPACT,2.4,Manual,Premium,30,6,31.78581081081081,21.779166666666665
2015,ACURA,ILX HYBRID,COMPACT,1.5,CVT,Premium,46,7,38.559836065573776,39.2025
2015,ACURA,MDX SH-AWD,SUV - SMALL,3.5,Automatic,Premium,25,6,25.8478021978022,18.520866141732284
2015,ACURA,RDX AWD,SUV - SMALL,3.5,Automatic,Premium,27,6,27.036206896551732,19.43925619834711
2015,ACURA,RLX,MID-SIZE,3.5,Automatic,Premium,28,6,30.5474025974026,19.76596638655462
2015,ACURA,RLX HYBRID,MID-SIZE,3.5,Automatic,Premium,37,7,31.362000000000002,29.401875
2015,ACURA,TLX,COMPACT,2.4,Automatic,Premium,34,8,35.638636363636365,24.501562500000002
2015,ACURA,TLX,COMPACT,3.5,Automatic,Premium,31,9,34.08913043478261,21.001339285714288
2015,ACURA,TLX SH-AWD,COMPACT,3.5,Automatic,Premium,29,9,31.362000000000002,21.001339285714288
2015,ALFA ROMEO,4C,TWO-SEATER,1.8,Automatic,Premium,34,6,34.08913043478261,24.24896907216495
2015,ASTON MARTIN,DB9,MINICOMPACT,5.9,Automatic,Premium,18,6,18.667857142857144,13.0675
2015,ASTON MARTIN,RAPIDE S,SUBCOMPACT,6.0,Automatic,Premium,20,8,21.579357798165137,14.000892857142857
2015,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,Automatic,Premium,19,7,20.815486725663717,13.518103448275863
2015,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,Manual,Premium,18,6,19.123170731707315,12.995303867403313
2015,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,Automatic,Premium,19,7,20.815486725663717,13.518103448275863
2015,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,Manual,Premium,18,6,19.123170731707315,12.995303867403313
2015,ASTON MARTIN,V12 VANTAGE S,TWO-SEATER,6.0,Automatic,Premium,17,7,18.376171875,12.062307692307693
2015,ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,Automatic,Premium,19,7,20.815486725663717,13.518103448275863
2015,ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,Manual,Premium,18,6,19.123170731707315,12.995303867403313
2015,ASTON MARTIN,VANQUISH,MINICOMPACT,6.0,Automatic,Premium,19,8,20.632894736842104,13.364488636363635
2015,AUDI,A3,SUBCOMPACT,1.8,Automatic,Premium,32,6,33.12887323943662,23.5215
2015,AUDI,A3 TDI (modified),SUBCOMPACT,2.0,Automatic,Diesel,43,6,42.766363636363636,30.949342105263163
2015,AUDI,A3 QUATTRO,SUBCOMPACT,2.0,Automatic,Premium,33,6,32.66875,24.001530612244895
2015,AUDI,A3 CABRIOLET QUATTRO,SUBCOMPACT,2.0,Automatic,Premium,32,6,31.362000000000002,23.28861386138614
2015,AUDI,A4,COMPACT,2.0,CVT,Premium,32,8,30.949342105263163,23.759090909090908
2015,AUDI,A4 QUATTRO,COMPACT,2.0,Automatic,Premium,29,8,30.15576923076923,21.383181818181818
2015,AUDI,A4 QUATTRO,COMPACT,2.0,Manual,Premium,31,6,32.22123287671233,22.190094339622643
2015,AUDI,A4 ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,Automatic,Premium,28,8,28.001785714285713,21.001339285714288
2015,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,Automatic,Premium,29,8,30.15576923076923,21.383181818181818
2015,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,Manual,Premium,31,6,32.22123287671233,22.190094339622643
2015,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,Automatic,Premium,29,8,29.401875,20.815486725663717
2015,AUDI,A6 QUATTRO,MID-SIZE,2.0,Automatic,Premium,27,8,29.0388888888889,19.60125
2015,AUDI,A6 QUATTRO,MID-SIZE,3.0,Automatic,Premium,26,8,27.350581395348843,18.376171875
2015,AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,Automatic,Diesel,35,8,37.93790322580645,24.001530612244895
2015,AUDI,A7 QUATTRO,MID-SIZE,3.0,Automatic,Premium,26,8,27.67235294117647,17.955343511450383
2015,AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,Automatic,Diesel,35,8,37.93790322580645,24.001530612244895
2015,AUDI,A8,MID-SIZE,3.0,Automatic,Premium,27,8,29.401875,18.667857142857144
2015,AUDI,A8,MID-SIZE,4.0,Automatic,Premium,26,8,29.401875,18.233720930232558
2015,AUDI,A8 TDI (modified),MID-SIZE,3.0,Automatic,Diesel,34,8,36.18692307692308,24.001530612244895
2015,AUDI,A8L,FULL-SIZE,3.0,Automatic,Premium,27,8,29.401875,18.667857142857144
2015,AUDI,A8L,FULL-SIZE,4.0,Automatic,Premium,26,8,28.33915662650602,17.819318181818183
2015,AUDI,A8L,FULL-SIZE,6.3,Automatic,Premium,19,8,21.779166666666665,13.21432584269663
2015,AUDI,A8L TDI (modified),FULL-SIZE,3.0,Automatic,Diesel,34,8,36.18692307692308,24.001530612244895
2015,AUDI,Q3,COMPACT,2.0,Automatic,Premium,27,6,28.684756097560985,19.60125
2015,AUDI,Q3 QUATTRO,COMPACT,2.0,Automatic,Premium,27,6,28.001785714285713,19.76596638655462
2015,AUDI,Q5,SUV - SMALL,2.0,Automatic,Premium,27,8,27.67235294117647,19.60125
2015,AUDI,Q5,SUV - SMALL,3.0,Automatic,Premium,25,8,25.56684782608696,17.819318181818183
2015,AUDI,Q5 TDI (modified),SUV - SMALL,3.0,Automatic,Diesel,31,8,30.15576923076923,23.06029411764706
2015,AUDI,Q5 HYBRID,SUV - SMALL,2.0,Automatic,Premium,32,8,29.77405063291139,24.001530612244895
2015,AUDI,Q7,SUV - STANDARD,3.0,Automatic,Premium,21,8,21.383181818181818,15.47467105263158
2015,AUDI,Q7 TDI (modified),SUV - STANDARD,3.0,Automatic,Diesel,26,8,27.036206896551732,18.968951612903226
2015,AUDI,R8,TWO-SEATER,4.2,Automatic,Premium,20,7,22.61682692307692,13.596242774566473
2015,AUDI,R8,TWO-SEATER,4.2,Manual,Premium,17,6,20.103846153846156,11.47390243902439
2015,AUDI,R8,TWO-SEATER,5.2,Automatic,Premium,19,7,22.190094339622643,12.9239010989011
2015,AUDI,R8,TWO-SEATER,5.2,Manual,Premium,17,6,19.60125,11.819849246231156
2015,AUDI,R8 SPYDER,TWO-SEATER,4.2,Automatic,Premium,20,7,22.61682692307692,13.596242774566473
2015,AUDI,R8 SPYDER,TWO-SEATER,4.2,Manual,Premium,17,6,20.103846153846156,11.47390243902439
2015,AUDI,R8 SPYDER,TWO-SEATER,5.2,Automatic,Premium,19,7,22.190094339622643,12.9239010989011
2015,AUDI,R8 SPYDER,TWO-SEATER,5.2,Manual,Premium,17,6,19.60125,11.819849246231156
2015,AUDI,RS 5,SUBCOMPACT,4.2,Automatic,Premium,22,7,23.28861386138614,15.786241610738255
2015,AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,Automatic,Premium,22,7,22.190094339622643,15.892905405405404
2015,AUDI,RS 7,MID-SIZE,4.0,Automatic,Premium,21,8,25.022872340425533,14.16957831325301
2015,AUDI,S3,SUBCOMPACT,2.0,Automatic,Premium,31,6,30.5474025974026,23.28861386138614
2015,AUDI,S4,COMPACT,3.0,Automatic,Premium,26,7,27.67235294117647,18.09346153846154
2015,AUDI,S4,COMPACT,3.0,Manual,Premium,24,6,26.135,17.044565217391305
2015,AUDI,S5,SUBCOMPACT,3.0,Automatic,Premium,26,7,27.67235294117647,18.09346153846154
2015,AUDI,S5,SUBCOMPACT,3.0,Manual,Premium,24,6,26.135,17.044565217391305
2015,AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,Automatic,Premium,25,7,25.8478021978022,17.68533834586466
2015,AUDI,S6,MID-SIZE,4.0,Automatic,Premium,24,7,27.036206896551732,16.80107142857143
2015,AUDI,S7,MID-SIZE,4.0,Automatic,Premium,24,7,27.036206896551732,16.80107142857143
2015,AUDI,S8,MID-SIZE,4.0,Automatic,Premium,24,8,26.72897727272727,16.110616438356164
2015,AUDI,SQ5,SUV - SMALL,3.0,Automatic,Premium,23,8,23.759090909090908,16.681914893617023
2015,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,Automatic,Premium,31,6,30.949342105263163,22.61682692307692
2015,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,Automatic,Premium,31,6,30.5474025974026,22.61682692307692
2015,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,Automatic,Premium,28,6,28.001785714285713,20.103846153846156
2015,AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,Automatic,Premium,28,6,27.67235294117647,20.103846153846156
2015,BENTLEY,CONTINENTAL GT,COMPACT,4.0,Automatic,Premium,22,8,25.022872340425533,14.609627329192545
2015,BENTLEY,CONTINENTAL GT,COMPACT,6.0,Automatic,Premium,18,8,21.001339285714288,12.445238095238096
2015,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,4.0,Automatic,Premium,20,8,22.83640776699029,13.288983050847458
2015,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,6.0,Automatic,Premium,18,8,20.103846153846156,12.000765306122448
2015,BENTLEY,CONTINENTAL GT3-R,TWO-SEATER,4.0,Automatic,Premium,20,8,23.28861386138614,13.364488636363635
2015,BENTLEY,FLYING SPUR,MID-SIZE,4.0,Automatic,Premium,20,8,23.5215,13.288983050847458
2015,BENTLEY,FLYING SPUR,MID-SIZE,6.0,Automatic,Premium,17,8,19.76596638655462,11.586945812807881
2015,BENTLEY,MULSANNE,MID-SIZE,6.8,Automatic,Premium,16,8,17.68533834586466,10.547757847533632
2015,BMW,228i CABRIOLET,SUBCOMPACT,2.0,Automatic,Premium,32,8,33.12887323943662,22.61682692307692
2015,BMW,228i COUPE,SUBCOMPACT,2.0,Automatic,Premium,34,8,36.18692307692308,23.5215
2015,BMW,228i COUPE,SUBCOMPACT,2.0,Manual,Premium,31,6,34.08913043478261,21.982710280373833
2015,BMW,228i xDRIVE CABRIOLET,SUBCOMPACT,2.0,Automatic,Premium,31,8,32.66875,22.190094339622643
2015,BMW,228i xDRIVE COUPE,SUBCOMPACT,2.0,Automatic,Premium,32,8,35.10671641791045,22.83640776699029
2015,BMW,320i SEDAN,COMPACT,2.0,Automatic,Premium,34,8,36.18692307692308,23.5215
