year,make,model,vehicle_class,engine_size(l),cylinders,transmission,fuel_type,city(l/10km),hwy(l/10km),comb(l/10km),comb(mpg),co2_emissions(g/km),num_gears
2015,ACURA,ILX,COMPACT,2.0,4,Automatic with select shift,Premium,9.7,6.7,8.3,34,191.0,5
2015,ACURA,ILX,COMPACT,2.4,4,Manual,Premium,10.8,7.4,9.3,30,214.0,6
2015,ACURA,ILX HYBRID,COMPACT,1.5,4,Continuously variable,Premium,6.0,6.1,6.1,46,140.0,7
2015,ACURA,MDX SH-AWD,SUV - SMALL,3.5,6,Automatic with select shift,Premium,12.7,9.1,11.1,25,255.0,6
2015,ACURA,RDX AWD,SUV - SMALL,3.5,6,Automatic with select shift,Premium,12.1,8.699999999999998,10.6,27,244.0,6
2015,ACURA,RLX,MID-SIZE,3.5,6,Automatic with select shift,Premium,11.9,7.7,10.0,28,230.0,6
2015,ACURA,RLX HYBRID,MID-SIZE,3.5,6,Automated manual,Premium,8.0,7.5,7.7,37,177.0,7
2015,ACURA,TLX,COMPACT,2.4,4,Automated manual,Premium,9.6,6.6,8.3,34,191.0,8
2015,ACURA,TLX,COMPACT,3.5,6,Automatic with select shift,Premium,11.2,6.9,9.2,31,212.0,9
2015,ACURA,TLX SH-AWD,COMPACT,3.5,6,Automatic with select shift,Premium,11.2,7.5,9.6,29,221.0,9
2015,ALFA ROMEO,4C,TWO-SEATER,1.8,4,Automated manual,Premium,9.7,6.9,8.4,34,193.0,6
2015,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,Automatic,Premium,18.0,12.6,15.6,18,359.0,6
2015,ASTON MARTIN,RAPIDE S,SUBCOMPACT,6.0,12,Automatic,Premium,16.8,10.9,14.2,20,327.0,8
2015,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,Automated manual,Premium,17.4,11.3,14.7,19,338.0,7
2015,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,Manual,Premium,18.1,12.3,15.5,18,356.0,6
2015,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,Automated manual,Premium,17.4,11.3,14.7,19,338.0,7
2015,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,Manual,Premium,18.1,12.3,15.5,18,356.0,6
2015,ASTON MARTIN,V12 VANTAGE S,TWO-SEATER,6.0,12,Automated manual,Premium,19.5,12.8,16.5,17,379.0,7
2015,ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,8,Automated manual,Premium,17.4,11.3,14.7,19,338.0,7
2015,ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,8,Manual,Premium,18.1,12.3,15.5,18,356.0,6
2015,ASTON MARTIN,VANQUISH,MINICOMPACT,6.0,12,Automatic,Premium,17.6,11.4,14.8,19,340.0,8
2015,AUDI,A3,SUBCOMPACT,1.8,4,Automated manual,Premium,10.0,7.1,8.699999999999998,32,200.0,6
2015,AUDI,A3 TDI (modified),SUBCOMPACT,2.0,4,Automated manual,Diesel,7.599999999999999,5.5,6.5,43,177.0,6
2015,AUDI,A3 QUATTRO,SUBCOMPACT,2.0,4,Automated manual,Premium,9.8,7.2,8.599999999999998,33,198.0,6
2015,AUDI,A3 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,Automated manual,Premium,10.1,7.5,8.9,32,205.0,6
2015,AUDI,A4,COMPACT,2.0,4,Continuously variable,Premium,9.9,7.599999999999999,8.9,32,205.0,8
2015,AUDI,A4 QUATTRO,COMPACT,2.0,4,Automatic with select shift,Premium,11.0,7.8,9.6,29,221.0,8
2015,AUDI,A4 QUATTRO,COMPACT,2.0,4,Manual,Premium,10.6,7.3,9.1,31,209.0,6
2015,AUDI,A4 ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4,Automatic with select shift,Premium,11.2,8.4,9.9,28,228.0,8
2015,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,Automatic with select shift,Premium,11.0,7.8,9.6,29,221.0,8
2015,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,Manual,Premium,10.6,7.3,9.1,31,209.0,6
2015,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,Automatic with select shift,Premium,11.3,8.0,9.8,29,225.0,8
2015,AUDI,A6 QUATTRO,MID-SIZE,2.0,4,Automatic with select shift,Premium,12.0,8.099999999999998,10.3,27,237.0,8
2015,AUDI,A6 QUATTRO,MID-SIZE,3.0,6,Automatic with select shift,Premium,12.8,8.599999999999998,10.9,26,251.0,8
2015,AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6,Automatic with select shift,Diesel,9.8,6.2,8.099999999999998,35,217.0,8
2015,AUDI,A7 QUATTRO,MID-SIZE,3.0,6,Automatic with select shift,Premium,13.1,8.5,11.0,26,253.0,8
2015,AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6,Automatic with select shift,Diesel,9.8,6.2,8.099999999999998,35,217.0,8
2015,AUDI,A8,MID-SIZE,3.0,6,Automatic with select shift,Premium,12.6,8.0,10.5,27,242.0,8
2015,AUDI,A8,MID-SIZE,4.0,8,Automatic with select shift,Premium,12.9,8.0,10.7,26,246.0,8
