year,co_mean,co_units,o3_mean,o3_units,no2_mean,no2_units,so2_mean,so2_units,pm25_mean,pm25_units,pm10_mean,pm10_units
2000,0.4647020306180862,ppm,14.981322450674643,ppb,13.304986320195415,ppb,3.9187392872358346,ppb,5.977311123262628,ug/m3,13.731743695364406,ug/m3
2001,0.42963151133226035,ppm,16.44008031120592,ppb,12.443450911399443,ppb,2.541681383287878,ppb,5.384296680244754,ug/m3,13.258304242003165,ug/m3
2002,0.4314122494145707,ppm,16.30447967122762,ppb,12.235972945619709,ppb,2.5447325586409177,ppb,5.973789318246513,ug/m3,14.189305580477301,ug/m3
2003,0.42108430022035714,ppm,17.12715332846894,ppb,11.975093622428897,ppb,3.0471927595307418,ppb,6.284330457687482,ug/m3,14.939430738992503,ug/m3
2004,0.42477744243693605,ppm,16.08369617072978,ppb,11.233853386731674,ppb,2.62927114735704,ppb,6.001286360408204,ug/m3,14.737286200553923,ug/m3
2005,0.4068886400534198,ppm,16.51079740113942,ppb,10.52274474159387,ppb,2.055812288652931,ppb,5.332326857656347,ug/m3,14.966064397513911,ug/m3
2006,0.37783659267537034,ppm,19.322605145438143,ppb,10.263045787199372,ppb,2.5060841676309487,ppb,5.217300741599608,ug/m3,14.62901894375866,ug/m3
2007,0.30390151326585024,ppm,17.649332478458348,ppb,10.07332265053227,ppb,2.526878088009776,ppb,4.654883576195241,ug/m3,13.111787205292611,ug/m3
2008,0.276882401788065,ppm,18.562693155118662,ppb,9.387899300382086,ppb,3.091261634607299,ppb,4.80452517328006,ug/m3,12.941734878746184,ug/m3
2009,0.26301656186155237,ppm,19.1310557522689,ppb,9.418802563122375,ppb,2.7169130849579304,ppb,5.523192703685619,ug/m3,13.223317033549073,ug/m3
2010,0.2502937493700924,ppm,19.058656688344787,ppb,8.299768223467527,ppb,1.8721105353057756,ppb,5.668423120739452,ug/m3,13.650184625766508,ug/m3
2011,0.22483423273866893,ppm,19.59257463562738,ppb,8.418642330531606,ppb,1.7335325404923485,ppb,5.033673298241615,ug/m3,12.836720536419005,ug/m3
2012,0.2348947455575156,ppm,20.03703612128107,ppb,8.695165369484226,ppb,1.8134147410919863,ppb,5.36938024085121,ug/m3,13.743371472354829,ug/m3
2013,0.21635806719999906,ppm,17.7088278206749,ppb,8.5840336492548,ppb,1.6544908971443704,ppb,6.306279994131137,ug/m3,14.115432381678005,ug/m3
2014,0.23347348937221363,ppm,19.138755941569734,ppb,8.462984414569801,ppb,1.5356038459001862,ppb,6.571820891258025,ug/m3,13.844307631901984,ug/m3
2015,0.27031209798804695,ppm,18.33828613795428,ppb,8.55014353966553,ppb,1.1405849379586326,ppb,6.818240440038233,ug/m3,13.820501810747773,ug/m3
2016,0.23972177939477057,ppm,18.5444891733604,ppb,7.607228437944749,ppb,1.307313512976755,ppb,5.528226879905313,ug/m3,12.02854329917295,ug/m3
2017,0.21504814024602512,ppm,20.459438203421115,ppb,8.333870781543968,ppb,1.4399924324396507,ppb,8.005948730850296,ug/m3,16.69816256487654,ug/m3
