year,co_mean,co_units,no2_mean,no2_units,o3_mean,o3_units,pm10_mean,pm10_units,pm2.5_mean,pm2.5_units,so2_mean,so2_units
2000,0.5978712221882111,mg/m3,41.15089496659685,μg/m3,38.74986304662953,μg/m3,25.678763608033133,μg/m3,15.658014571948994,μg/m3,8.952742949500495,μg/m3
2001,0.582163722316745,mg/m3,27.611767993349353,μg/m3,37.73205202059995,μg/m3,23.491575008458035,μg/m3,15.020091324200916,μg/m3,8.1160216930378,μg/m3
2002,0.5027307085902837,mg/m3,38.097510723087375,μg/m3,37.93292942133034,μg/m3,25.706486901916044,μg/m3,14.018264840182647,μg/m3,6.801325337710281,μg/m3
2003,0.567949859154035,mg/m3,50.17684278075838,μg/m3,39.94027697195251,μg/m3,28.75354946904042,μg/m3,14.319178082191781,μg/m3,7.1465926411321075,μg/m3
2004,0.3894355891132081,mg/m3,44.19875326741374,μg/m3,40.175747922475885,μg/m3,24.267985361974816,μg/m3,13.24931693989071,μg/m3,3.9457763470381195,μg/m3
2005,0.3473813296249287,mg/m3,47.04657387804964,μg/m3,45.021356788627436,μg/m3,24.026206569553825,μg/m3,13.282420091324203,μg/m3,3.2333856183423246,μg/m3
2006,0.3276010975272317,mg/m3,49.98995824520472,μg/m3,43.15726088726929,μg/m3,22.26474591707035,μg/m3,14.413333333333343,μg/m3,2.8522521691499914,μg/m3
2007,0.38309642248187153,mg/m3,47.75865561010502,μg/m3,42.822424762532584,μg/m3,20.767027253158375,μg/m3,12.487625570776256,μg/m3,2.3058623848588264,μg/m3
2008,0.3767589225383049,mg/m3,47.85944027875824,μg/m3,44.08097813048527,μg/m3,21.101993756977578,μg/m3,13.100326265714843,μg/m3,2.090881814108038,μg/m3
2009,0.3719676134779647,mg/m3,47.9147514351467,μg/m3,44.008868125698946,μg/m3,19.222127116411027,μg/m3,13.315674032574758,μg/m3,2.239381202478284,μg/m3
2010,0.4015254546570647,mg/m3,48.233155181673,μg/m3,39.74503451908011,μg/m3,19.88900911268497,μg/m3,14.072993877976524,μg/m3,1.9622224870320337,μg/m3
2011,0.3139880087973465,mg/m3,45.62518207300242,μg/m3,45.53815936547282,μg/m3,21.68400601634084,μg/m3,14.835845434065094,μg/m3,1.6923815045895532,μg/m3
2012,0.38804814790381986,mg/m3,46.055673557737265,μg/m3,43.35208458215183,μg/m3,18.29063095491703,μg/m3,13.517318570127637,μg/m3,2.8104374406073482,μg/m3
2013,0.2513840837429648,mg/m3,46.53312179826747,μg/m3,43.227355970238385,μg/m3,17.78206126940717,μg/m3,12.841646684729488,μg/m3,2.8124543417833,μg/m3
2014,0.2600609197600247,mg/m3,44.28942933826369,μg/m3,43.946767602323234,μg/m3,16.694770894292606,μg/m3,12.967773988670833,μg/m3,2.7085142447898516,μg/m3
2015,0.2480209589616893,mg/m3,44.79004792084582,μg/m3,44.413390047571355,μg/m3,14.894139074155564,μg/m3,10.300474277251562,μg/m3,2.479831796841636,μg/m3
2016,0.2149757730057005,mg/m3,37.008555051263386,μg/m3,38.739330775312965,μg/m3,15.297995718837678,μg/m3,11.492774493859816,μg/m3,2.3652829364196273,μg/m3
2017,0.17801784644388172,mg/m3,34.87697180499548,μg/m3,44.737085135393635,μg/m3,15.371915603504204,μg/m3,9.721919082636987,μg/m3,1.9643496914044856,μg/m3
