year,co_mean,co_units,no2_mean,no2_units,o3_mean,o3_units,so2_mean,so2_units,pm10_mean,pm10_24h_mean,pm10_units,pm10_24h_units,pm2.5_mean,pm2.5_24h_mean,pm2.5_units,pm2.5_24h_units
2000,0.5556047064028881,ppm,17.433767511228094,ppb,0.024374164568011586,ppm,3.6350007524169485,ppb,26.215578771410296,53.1263834966301,μg/m3,μg/m3,,13.250363047908637,μg/m3,μg/m3
2001,0.5066442155111611,ppm,17.601948285142296,ppb,0.025386527981133247,ppm,3.1209011047490036,ppb,26.14956539167847,41.615862179141686,μg/m3,μg/m3,,,,
2002,0.4986620253575829,ppm,16.38585547234401,ppb,0.026819121699342755,ppm,2.7298660291740506,ppb,25.69870495560183,33.79086063718884,μg/m3,μg/m3,,12.382175242763868,μg/m3,μg/m3
2003,0.4905590585777268,ppm,15.864933844278653,ppb,0.025527037500867555,ppm,2.851912187353885,ppb,26.10288113232312,35.50551526363424,μg/m3,μg/m3,,12.230867870399663,μg/m3,μg/m3
2004,0.44628484148775455,ppm,14.975201325422043,ppb,0.024900771116303632,ppm,2.841328782155262,ppb,24.916298631107008,28.9518883283311,μg/m3,μg/m3,,11.920113075340153,μg/m3,μg/m3
2005,0.4156578086691185,ppm,15.010922985535744,ppb,0.02574206660801208,ppm,2.900742616915956,ppb,25.788178411350174,33.753328163038404,μg/m3,μg/m3,,12.733350695275766,μg/m3,μg/m3
2006,0.41337451278772636,ppm,14.531507831593096,ppb,0.025937475441049487,ppm,2.5961098280327994,ppb,26.77044636570933,40.34071196962901,μg/m3,μg/m3,,11.63564377050574,μg/m3,μg/m3
2007,0.3732948763022363,ppm,13.285442796729455,ppb,0.02637890379448411,ppm,2.3415001857460007,ppb,26.157903406357853,29.84753835418285,μg/m3,μg/m3,,12.08809113444104,μg/m3,μg/m3
2008,0.32897387601734374,ppm,12.240445505022917,ppb,0.026092764598616827,ppm,1.8946722753432046,ppb,27.79920232804449,27.578270406640897,μg/m3,μg/m3,11.170411733389896,10.913842541711125,μg/m3,μg/m3
2009,0.32235972412764774,ppm,11.469121686086044,ppb,0.025259467261817947,ppm,1.5492320645068811,ppb,22.14851198061126,21.008927349959944,μg/m3,μg/m3,10.300744275832285,9.872424571991523,μg/m3,μg/m3
2010,0.3261462823659486,ppm,11.369239985746182,ppb,0.026693435816301948,ppm,1.2916310329790621,ppb,21.890396734463568,21.958475132891607,μg/m3,μg/m3,10.040956969900224,10.031842823636937,μg/m3,μg/m3
2011,0.3099534977252714,ppm,11.203569297676161,ppb,0.026766271168605967,ppm,1.2177489982746685,ppb,22.85087564652365,23.705142505084705,μg/m3,μg/m3,9.62424001375966,9.973622232254558,μg/m3,μg/m3
2012,0.2993634523266843,ppm,10.575790693602967,ppb,0.02729316623247008,ppm,0.9548725041105816,ppb,24.887949695752894,21.717201320889593,μg/m3,μg/m3,9.102211897377773,9.242139962722668,μg/m3,μg/m3
2013,0.27636168614012974,ppm,10.471201535206957,ppb,0.02656148524253955,ppm,0.8512041987650121,ppb,29.559153947624104,20.025939841849716,μg/m3,μg/m3,8.965222906320884,9.048718186024141,μg/m3,μg/m3
2014,0.27473121650743454,ppm,10.020680543867849,ppb,0.026309470062086768,ppm,0.8627066609746697,ppb,25.19031701139326,23.152654205417203,μg/m3,μg/m3,8.369282265121186,8.942813401745209,μg/m3,μg/m3
2015,0.2804510066478303,ppm,9.450647623873719,ppb,0.026500821404772883,ppm,0.7414094927016587,ppb,24.483326823678148,24.355413905922354,μg/m3,μg/m3,8.23274054198184,8.615516619608485,μg/m3,μg/m3
2016,0.2869271234758547,ppm,10.080603272638696,ppb,0.026438632661356015,ppm,0.6728752420338228,ppb,25.036997789997894,16.947206694115952,μg/m3,μg/m3,7.342050531029715,7.977848599018994,μg/m3,μg/m3
2017,0.2906754065573772,ppm,12.672480985745626,ppb,0.04735776781933667,ppm,3.00551256720686,ppb,22.240733433208455,15.376554081335627,μg/m3,μg/m3,7.429755903111736,1.8541757907682093,μg/m3,μg/m3
