year,make,model,veh_class,drive,transmission,engine_cylinders,engine_displacement,turbocharger,supercharger,fuel_type,fuel_type_1,city_mpg,highway_mpg,combined_mpg
2000,Acura,3.2TL,Midsize Cars,Front-Wheel Drive,Automatic 5-Speed,6.0,3.2,0,0,Premium,Premium Gasoline,17.0,27.0,20.0
2000,Acura,3.5RL,Midsize Cars,Front-Wheel Drive,Automatic 4-Speed,6.0,3.5,0,0,Premium,Premium Gasoline,16.0,22.0,18.0
2000,Acura,Integra,Subcompact Cars,Front-Wheel Drive,Automatic 4-Speed,4.0,1.8,0,0,Regular,Regular Gasoline,21.0,28.0,23.0
2000,Acura,Integra,Subcompact Cars,Front-Wheel Drive,Manual 5-Speed,4.0,1.8,0,0,Regular,Regular Gasoline,22.0,28.0,24.0
2000,Acura,Integra,Subcompact Cars,Front-Wheel Drive,Manual 5-Speed,4.0,1.8,0,0,Premium,Premium Gasoline,22.0,28.0,24.0
2000,Acura,NSX,Two Seaters,Rear-Wheel Drive,Automatic 4-Speed,6.0,3.0,0,0,Premium,Premium Gasoline,15.0,22.0,18.0
2000,Acura,NSX,Two Seaters,Rear-Wheel Drive,Manual 6-Speed,6.0,3.2,0,0,Premium,Premium Gasoline,15.0,22.0,18.0
2000,Aston Martin,DB-7 Vantage Coupe,Minicompact Cars,Rear-Wheel Drive,Automatic 5-Speed,12.0,5.9,0,0,Premium,Premium Gasoline,10.0,17.0,12.0
2000,Aston Martin,DB-7 Vantage Coupe,Minicompact Cars,Rear-Wheel Drive,Manual 6-Speed,12.0,5.9,0,0,Premium,Premium Gasoline,10.0,17.0,12.0
2000,Aston Martin,DB-7 Vantage Volante,Minicompact Cars,Rear-Wheel Drive,Automatic 5-Speed,12.0,5.9,0,0,Premium,Premium Gasoline,10.0,17.0,12.0
2000,Aston Martin,DB-7 Vantage Volante,Minicompact Cars,Rear-Wheel Drive,Manual 6-Speed,12.0,5.9,0,0,Premium,Premium Gasoline,10.0,17.0,12.0
2000,Audi,A4,Compact Cars,Front-Wheel Drive,Automatic 5-Speed,4.0,1.8,1,0,Premium,Premium Gasoline,18.0,28.0,21.0
2000,Audi,A4,Compact Cars,Front-Wheel Drive,Automatic 5-Speed,6.0,2.8,0,0,Premium,Premium Gasoline,16.0,24.0,19.0
2000,Audi,A4,Compact Cars,Front-Wheel Drive,Manual 5-Speed,4.0,1.8,1,0,Premium,Premium Gasoline,21.0,29.0,24.0
2000,Audi,A4,Compact Cars,Front-Wheel Drive,Manual 5-Speed,6.0,2.8,0,0,Premium,Premium Gasoline,18.0,26.0,21.0
2000,Audi,A4 Avant,Small Station Wagons,Front-Wheel Drive,Automatic 5-Speed,6.0,2.8,0,0,Premium,Premium Gasoline,16.0,24.0,19.0
2000,Audi,A4 Avant quattro,Small Station Wagons,4-Wheel or All-Wheel Drive,Automatic 5-Speed,4.0,1.8,1,0,Premium,Premium Gasoline,17.0,26.0,20.0
2000,Audi,A4 Avant quattro,Small Station Wagons,4-Wheel or All-Wheel Drive,Automatic 5-Speed,6.0,2.8,0,0,Premium,Premium Gasoline,15.0,22.0,18.0
2000,Audi,A4 Avant quattro,Small Station Wagons,4-Wheel or All-Wheel Drive,Manual 5-Speed,4.0,1.8,1,0,Premium,Premium Gasoline,19.0,26.0,22.0
2000,Audi,A4 Avant quattro,Small Station Wagons,4-Wheel or All-Wheel Drive,Manual 5-Speed,6.0,2.8,0,0,Premium,Premium Gasoline,16.0,23.0,19.0
2000,Audi,A4 quattro,Compact Cars,4-Wheel or All-Wheel Drive,Automatic 5-Speed,4.0,1.8,1,0,Premium,Premium Gasoline,17.0,26.0,20.0
2000,Audi,A4 quattro,Compact Cars,4-Wheel or All-Wheel Drive,Automatic 5-Speed,6.0,2.8,0,0,Premium,Premium Gasoline,16.0,23.0,18.0
2000,Audi,A4 quattro,Compact Cars,4-Wheel or All-Wheel Drive,Manual 5-Speed,4.0,1.8,1,0,Premium,Premium Gasoline,19.0,26.0,22.0
2000,Audi,A4 quattro,Compact Cars,4-Wheel or All-Wheel Drive,Manual 5-Speed,6.0,2.8,0,0,Premium,Premium Gasoline,16.0,23.0,19.0
2000,Audi,A6,Midsize Cars,Front-Wheel Drive,Automatic 5-Speed,6.0,2.8,0,0,Premium,Premium Gasoline,16.0,24.0,18.0
2000,Audi,A6 Avant quattro,Midsize Station Wagons,4-Wheel or All-Wheel Drive,Automatic 5-Speed,6.0,2.8,0,0,Premium,Premium Gasoline,15.0,22.0,18.0
2000,Audi,A6 quattro,Midsize Cars,4-Wheel or All-Wheel Drive,Automatic 5-Speed,6.0,2.7,1,0,Premium,Premium Gasoline,15.0,22.0,18.0
2000,Audi,A6 quattro,Midsize Cars,4-Wheel or All-Wheel Drive,Automatic 5-Speed,6.0,2.8,0,0,Premium,Premium Gasoline,15.0,22.0,18.0
2000,Audi,A6 quattro,Midsize Cars,4-Wheel or All-Wheel Drive,Automatic 5-Speed,8.0,4.2,0,0,Premium,Premium Gasoline,15.0,22.0,18.0
2000,Audi,A6 quattro,Midsize Cars,4-Wheel or All-Wheel Drive,Manual 5-Speed,6.0,2.8,0,0,Premium,Premium Gasoline,16.0,22.0,18.0
2000,Audi,A6 quattro,Midsize Cars,4-Wheel or All-Wheel Drive,Manual 6-Speed,6.0,2.7,1,0,Premium,Premium Gasoline,15.0,22.0,18.0
2000,Audi,A8 L,Large Cars,4-Wheel or All-Wheel Drive,Automatic 5-Speed,8.0,4.2,0,0,Premium,Premium Gasoline,15.0,22.0,18.0
2000,Audi,A8 quattro,Midsize Cars,4-Wheel or All-Wheel Drive,Automatic 5-Speed,8.0,4.2,0,0,Premium,Premium Gasoline,15.0,22.0,18.0
2000,Audi,S4,Compact Cars,4-Wheel or All-Wheel Drive,Automatic 5-Speed,6.0,2.7,1,0,Premium,Premium Gasoline,15.0,22.0,18.0
2000,Audi,S4,Compact Cars,4-Wheel or All-Wheel Drive,Manual 6-Speed,6.0,2.7,1,0,Premium,Premium Gasoline,15.0,22.0,18.0
2000,Audi,TT Coupe,Minicompact Cars,Front-Wheel Drive,Manual 5-Speed,4.0,1.8,1,0,Premium,Premium Gasoline,19.0,29.0,23.0
2000,Audi,TT Coupe quattro,Minicompact Cars,4-Wheel or All-Wheel Drive,Manual 5-Speed,4.0,1.8,1,0,Premium,Premium Gasoline,18.0,26.0,21.0
2000,Bentley,Arnage,Midsize Cars,Rear-Wheel Drive,Automatic 4-Speed,8.0,6.7,0,0,Premium,Premium Gasoline,10.0,15.0,12.0
