year,make,model,vehicle_class,transmission,engine_size,fuel_type,city_mpg,highway_mpg,combined_mpg,num_gears
2000,Acura,3.2TL,Midsize Cars,Automatic,3.2,Premium,17.0,27.0,20.0,5
2000,Acura,3.5RL,Midsize Cars,Automatic,3.5,Premium,16.0,22.0,18.0,4
2000,Acura,Integra,Subcompact Cars,Automatic,1.8,Regular,21.0,28.0,23.0,4
2000,Acura,Integra,Subcompact Cars,Manual,1.8,Regular,22.0,28.0,24.0,5
2000,Acura,Integra,Subcompact Cars,Manual,1.8,Premium,22.0,28.0,24.0,5
2000,Acura,NSX,Two Seaters,Automatic,3.0,Premium,15.0,22.0,18.0,4
2000,Acura,NSX,Two Seaters,Manual,3.2,Premium,15.0,22.0,18.0,6
2000,Aston Martin,DB-7 Vantage Coupe,Minicompact Cars,Automatic,5.9,Premium,10.0,17.0,12.0,5
2000,Aston Martin,DB-7 Vantage Coupe,Minicompact Cars,Manual,5.9,Premium,10.0,17.0,12.0,6
2000,Aston Martin,DB-7 Vantage Volante,Minicompact Cars,Automatic,5.9,Premium,10.0,17.0,12.0,5
2000,Aston Martin,DB-7 Vantage Volante,Minicompact Cars,Manual,5.9,Premium,10.0,17.0,12.0,6
2000,Audi,A4,Compact Cars,Automatic,1.8,Premium,18.0,28.0,21.0,5
2000,Audi,A4,Compact Cars,Automatic,2.8,Premium,16.0,24.0,19.0,5
2000,Audi,A4,Compact Cars,Manual,1.8,Premium,21.0,29.0,24.0,5
2000,Audi,A4,Compact Cars,Manual,2.8,Premium,18.0,26.0,21.0,5
2000,Audi,A4 Avant,Small Station Wagons,Automatic,2.8,Premium,16.0,24.0,19.0,5
2000,Audi,A4 Avant quattro,Small Station Wagons,Automatic,1.8,Premium,17.0,26.0,20.0,5
2000,Audi,A4 Avant quattro,Small Station Wagons,Automatic,2.8,Premium,15.0,22.0,18.0,5
2000,Audi,A4 Avant quattro,Small Station Wagons,Manual,1.8,Premium,19.0,26.0,22.0,5
2000,Audi,A4 Avant quattro,Small Station Wagons,Manual,2.8,Premium,16.0,23.0,19.0,5
2000,Audi,A4 quattro,Compact Cars,Automatic,1.8,Premium,17.0,26.0,20.0,5
2000,Audi,A4 quattro,Compact Cars,Automatic,2.8,Premium,16.0,23.0,18.0,5
2000,Audi,A4 quattro,Compact Cars,Manual,1.8,Premium,19.0,26.0,22.0,5
2000,Audi,A4 quattro,Compact Cars,Manual,2.8,Premium,16.0,23.0,19.0,5
2000,Audi,A6,Midsize Cars,Automatic,2.8,Premium,16.0,24.0,18.0,5
2000,Audi,A6 Avant quattro,Midsize Station Wagons,Automatic,2.8,Premium,15.0,22.0,18.0,5
2000,Audi,A6 quattro,Midsize Cars,Automatic,2.7,Premium,15.0,22.0,18.0,5
2000,Audi,A6 quattro,Midsize Cars,Automatic,2.8,Premium,15.0,22.0,18.0,5
2000,Audi,A6 quattro,Midsize Cars,Automatic,4.2,Premium,15.0,22.0,18.0,5
